N,AVL Add,BST Add,AVL Add Rotations,AVL Add Height,BST Add Height,AVL Search,BST Search,AVL Save,BST Save,AVL Remove,BST Remove,AVL Remove Rotations
490000.000000,0.755414,0.971695,389448.000000,23.000000,124.000000,0.923246,1.102068,0.083223,0.084575,1.258069,1.299862,122371.000000
495000.000000,0.807572,1.058690,393537.000000,23.000000,124.000000,0.672582,1.149742,0.083636,0.103871,1.279393,1.260869,123568.000000
500000.000000,1.035556,1.168851,397485.000000,23.000000,126.000000,0.992804,1.130333,0.121241,0.125215,1.311572,0.996668,124905.000000
505000.000000,0.699638,1.073281,401497.000000,23.000000,127.000000,0.978835,1.068426,0.127069,0.132977,1.246142,1.420738,125926.000000
510000.000000,0.851003,0.971836,405548.000000,23.000000,128.000000,0.794357,0.989923,0.123191,0.136620,1.369047,1.389024,127810.000000
515000.000000,0.875452,0.998789,409453.000000,23.000000,129.000000,0.847769,1.103155,0.111634,0.129017,1.291338,1.260033,129502.000000
520000.000000,0.842809,0.974059,413450.000000,23.000000,130.000000,0.715071,0.859878,0.092949,0.094959,1.343719,1.103471,129595.000000
525000.000000,0.760187,0.881505,417448.000000,23.000000,130.000000,0.711645,1.095417,0.101353,0.105658,1.209683,1.212001,132250.000000
530000.000000,0.874393,1.002715,421484.000000,23.000000,133.000000,0.828621,1.020656,0.097092,0.115026,1.259673,1.341806,133312.000000
535000.000000,0.990022,0.971605,425609.000000,23.000000,136.000000,0.878374,1.190168,0.101531,0.125531,1.420222,1.403632,134465.000000
540000.000000,0.828084,1.037708,429778.000000,23.000000,136.000000,0.944260,1.242553,0.094236,0.113862,1.456832,1.268416,136376.000000
545000.000000,0.749434,1.259849,433958.000000,23.000000,136.000000,1.096174,1.327682,0.108974,0.139017,1.310429,1.448321,137713.000000
550000.000000,1.037558,1.099927,438128.000000,23.000000,138.000000,0.932178,1.364553,0.114910,0.127746,1.609805,1.665282,138310.000000
555000.000000,1.073362,1.299311,442214.000000,23.000000,138.000000,1.074299,1.236257,0.104764,0.115504,1.250460,1.322775,140639.000000
560000.000000,0.956919,1.072287,446244.000000,23.000000,138.000000,0.890648,1.112737,0.111113,0.117600,1.297377,1.298838,141576.000000
565000.000000,0.948589,1.180849,450272.000000,23.000000,139.000000,0.956639,1.214565,0.116149,0.124791,1.436241,1.348069,142903.000000
570000.000000,0.949181,1.192638,454268.000000,23.000000,139.000000,0.946355,1.192778,0.128310,0.131738,1.532711,1.468032,144514.000000
575000.000000,0.998776,1.096057,458273.000000,23.000000,140.000000,0.959721,1.156391,0.140815,0.141982,1.458008,1.579898,146131.000000
580000.000000,0.973721,1.260508,462433.000000,23.000000,142.000000,0.919111,1.147039,0.141667,0.148330,1.702486,1.517695,147407.000000
585000.000000,1.003255,1.295247,466523.000000,23.000000,143.000000,1.040043,1.217832,0.123697,0.145705,1.683689,1.576301,148712.000000
590000.000000,1.027494,1.215544,470601.000000,23.000000,143.000000,1.052305,1.310943,0.149425,0.152469,1.711494,1.550612,150424.000000
595000.000000,1.099443,1.312522,474730.000000,23.000000,143.000000,1.079777,1.562069,0.114308,0.117049,1.686595,1.736047,151558.000000
600000.000000,1.213501,1.162581,478825.000000,23.000000,145.000000,1.048601,1.403883,0.124621,0.142358,1.834606,1.634187,153183.000000
605000.000000,1.370087,1.319587,482942.000000,23.000000,147.000000,1.253811,1.592550,0.117537,0.138106,1.442611,1.389411,154365.000000
610000.000000,1.137859,1.384451,487081.000000,23.000000,147.000000,1.030233,1.368160,0.113305,0.110278,1.516411,1.706494,155736.000000
615000.000000,1.268842,1.185777,491145.000000,23.000000,148.000000,0.996339,1.480822,0.122568,0.137535,1.581661,1.524886,157037.000000
620000.000000,1.079244,1.043311,495264.000000,23.000000,150.000000,0.860932,1.157966,0.119745,0.137346,1.822579,1.670977,158392.000000
625000.000000,1.194584,1.482614,499356.000000,23.000000,152.000000,1.043384,1.214821,0.120541,0.147623,1.652231,1.551840,160439.000000
630000.000000,1.141403,1.409375,503467.000000,23.000000,153.000000,0.995891,1.378296,0.156401,0.162240,1.479809,1.590116,161664.000000
635000.000000,1.318868,1.320470,507623.000000,23.000000,154.000000,1.064968,1.357505,0.155879,0.172786,1.556449,1.548692,163031.000000
640000.000000,1.184846,1.536270,511747.000000,23.000000,156.000000,1.061254,1.354483,0.135535,0.198246,1.846219,1.876301,164001.000000
645000.000000,1.272893,1.432596,515882.000000,23.000000,158.000000,1.094206,1.409020,0.136068,0.161072,1.925089,1.917061,167237.000000
650000.000000,1.331817,1.457137,520021.000000,23.000000,159.000000,1.189046,1.749149,0.145309,0.204814,1.966034,1.948539,168182.000000
655000.000000,1.491007,1.501097,524143.000000,23.000000,159.000000,1.171993,1.345042,0.128616,0.153221,1.578917,1.578908,168666.000000
660000.000000,1.279581,1.370736,528246.000000,23.000000,161.000000,1.045385,1.640827,0.128219,0.169263,1.962893,1.868941,170170.000000
665000.000000,1.397519,1.452402,532415.000000,23.000000,162.000000,1.156003,1.613980,0.158015,0.171539,1.968274,1.684161,172332.000000
670000.000000,1.265996,1.341488,536667.000000,23.000000,162.000000,1.085465,1.481700,0.124548,0.148836,1.584617,1.776509,172497.000000
675000.000000,1.256274,1.465861,540689.000000,23.000000,162.000000,1.059631,1.328926,0.121045,0.142884,1.581920,1.753563,174748.000000
680000.000000,1.272877,1.534693,544812.000000,23.000000,167.000000,1.165885,1.396541,0.132187,0.147054,1.708886,1.769513,175749.000000
685000.000000,1.174145,1.425249,549065.000000,23.000000,167.000000,1.050897,1.388485,0.170618,0.173086,1.849063,1.717986,177727.000000
690000.000000,1.392481,1.474212,553296.000000,23.000000,167.000000,1.113071,1.403751,0.180158,0.202457,1.748454,1.838551,180099.000000
695000.000000,1.342617,1.543032,557593.000000,23.000000,170.000000,1.186618,1.509454,0.185197,0.204084,1.866622,1.838776,180983.000000
700000.000000,1.393092,1.673835,561757.000000,23.000000,170.000000,1.251846,1.540394,0.136292,0.157864,1.871161,1.877613,181357.000000
705000.000000,1.428600,1.571212,565888.000000,23.000000,171.000000,1.228719,1.574477,0.179201,0.184887,1.755737,1.903102,183526.000000
710000.000000,1.578398,1.715050,569929.000000,23.000000,174.000000,1.184813,1.453662,0.138142,0.159682,1.760944,1.904609,185204.000000
715000.000000,1.399918,1.488458,574038.000000,23.000000,176.000000,1.261701,1.461469,0.129876,0.156059,1.958723,2.309712,186571.000000
720000.000000,1.461357,1.494419,578106.000000,23.000000,177.000000,1.161044,1.772777,0.164840,0.204318,2.103416,2.117552,188117.000000
